Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Amount spent (ILS),Ad set budget,Ad set budget type,Reach,Impressions,Website landing page views,Cost per landing page view (ILS),Purchase ROAS (return on ad spend),Cost per purchase (ILS),Website purchases,Content views,Cost per content view (ILS),Adds to cart,Cost per add to cart (ILS),Cost per checkout initiated (ILS),"CPM (cost per 1,000 impressions) (ILS)",Post comments,ThruPlays,Cost per ThruPlay (ILS),Direct website purchases conversion value,CTR (link click-through rate),Cost per results,CPC (cost per link click) (ILS),Link clicks
01/06/2026,25/06/2026,1_Cold_Purchase_Scalp_AI_Collection_Meta_AWO,active,57,3274.34,Using ad set budget,0,68209,168274,979,3.344576,3.625216,57.444561,57,1156,2.832474,349,9.382063,27.515462,19.458383,8,1000,3.27434,11870.19,0.839702,57.4445614,2.317297,1413
01/06/2026,25/06/2026,1_Cold_Purchase_Bio_Ba_AI_PP_Meta_AWO,active,17,1838.7,50,Daily,14318,52933,674,2.728042,1.959107,108.158824,17,626,2.93722,158,11.637342,41.788636,34.736365,2,1416,1.298517,3602.21,1.679482,108.1588235,2.068279,889
01/06/2026,25/06/2026,2_Warm_VV_Scalp_RMK_Meta_AWO,active,464,123.17,5,Daily,1545,7232,23,5.355217,,,,76,1.620658,1,123.17,,17.03125,1,464,0.265453,0,0.414823,0.26545259,4.105667,30
01/06/2026,25/06/2026,3_Hot_Purchase_All_RMK_10_Days_Meta_AWO,active,25,1906.93,70,Daily,5203,48919,1026,1.858606,2.614988,73.343462,25,977,1.951822,180,10.594056,25.769324,38.981377,2,701,2.7203,4986.6,3.442425,76.2772,1.132381,1684
01/06/2026,25/06/2026,2_Warm_VV_Sebo_T_RMK_Meta_AWO,active,461,123.62,5,Daily,1588,6988,16,7.72625,4.297606,61.81,2,50,2.4724,9,13.735556,41.206667,17.690326,,461,0.268156,531.27,0.314825,0.26815618,5.619091,22
01/06/2026,25/06/2026,3_Hot_Eng_All_Comments_Opt_Meta_AWO,active,336,363.71,15,Daily,3685,22191,228,1.595219,2.461604,90.9275,4,326,1.115675,45,8.082444,33.064545,16.389978,1,,,895.31,1.329368,1.08247024,1.232915,295
01/06/2026,25/06/2026,5_Special_Offer_Eng_All_ Happy_Customers_Posts_feedback_Meta_AWO,active,5272,291.94,Using ad set budget,0,5832,27805,6,48.656667,7.299342,32.437778,9,81,3.604198,42,6.950952,24.328333,10.49955,1,944,0.309258,2130.97,0.25535,0.05537557,4.111831,71
01/06/2026,25/06/2026,5_Special_Offer_Traffic_All_Join_Membership_Meta_AWO,active,310,167.21,Using ad set budget,0,8232,45086,310,0.539387,9.36804,27.868333,6,50,3.3442,30,5.573667,18.578889,3.70869,,336,0.497649,1566.43,0.776294,0.5393871,0.477743,350
01/06/2026,25/06/2026,3_Hot_Purchase_All_RMK_Eng_FBIG_WV_7_Days_Free_Meta_AWO,inactive,,53.59,40,Daily,754,1217,8,6.69875,,,,19,2.820526,5,10.718,,44.034511,,,,0,1.0682,,4.122308,13
01/06/2026,25/06/2026,2_Warm_VV_Calm_Kamedis_video_brand_Meta_AWO,active,816,121.61,5,Daily,2417,8581,10,12.161,,,,54,2.252037,,,,14.172008,,816,0.149032,0,0.233073,0.14903186,6.0805,20
